AC_Name,AC_No,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
NEMOM,135,4,V.Sivankutty,Communist Party of India  (Marxist),54452,1385,55837,38.24
NEMOM,135,5,Jain Wilson,Independent,164,1,165,0.11
NEMOM,135,6,Balachandran Valkannadi,Independent,84,1,85,0.06
NEMOM,135,7,Muraleedharan Nair,Independent,46,2,48,0.03
NEMOM,135,8,Rajasekharan,Independent,46,4,50,0.03
ARUVIKKARA,136,1,Krishnankutty. M,Bahujan Samaj Party,904,19,923,0.63
ARUVIKKARA,136,2,K. S. Sabarinadhan,Indian National Congress,59877,1853,61730,42.37
ARUVIKKARA,136,3,C. Sivankutty,Bharatiya Janata Party,15060,319,15379,10.55
ARUVIKKARA,136,4,Adv. G. Steephen,Communist Party of India  (Marxist),64795,1981,66776,45.83
ARUVIKKARA,136,5,NOTA,None of the Above,885,15,900,0.62
PARASSALA,137,1,AN SAJITHA RESSAL.R.K,Indian National Congress,51273,1447,52720,32.33
PARASSALA,137,2,J.R.JAYAKUMAR,Bahujan Samaj Party,775,3,778,0.48
PARASSALA,137,3,KARAMANA JAYAN,Bharatiya Janata Party,29195,655,29850,18.3
PARASSALA,137,4,C.K.HAREENDRAN,Communist Party of India  (Marxist),76302,2246,78548,48.16
PARASSALA,137,5,SHAJU PALIYODU,Independent,400,2,402,0.25
